Date,Clock Time,Location,Severity,Vehicle Details,Causes,Highway Type,Count,Latitude,Longitude,Weather,Time Category
10-11-2023,05:35,Karnataka,Accident,Truck,Over-speeding,National Highways under NHAI,94,32.694710053225414,84.94116710101517,Clear,Morning
11-06-2023,16:04,Chandigarh,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under NHAI,23,32.727305337394924,76.71760531208125,Rainy,Afternoon
30-05-2023,15:28,Chhattisgarh,Fatal,Tractor,Use of Mobile Phone,National Highways under NHAI,43,28.780220218112742,86.98675214214926,Stormy,Afternoon
11-02-2023,05:58,Haryana,Accident,Truck,Fatigue,National Highways under Other department,54,30.626726893545616,78.79447891576261,Rainy,Morning
02-11-2023,06:18,Jharkhand,Accident,Auto-rickshaw,Drunk driving,National Highways under Other department,23,30.889614283932303,92.00732790854948,Stormy,Morning
16-10-2023,03:48,West Bengal,Accident,Bus,Drunk driving,National Highways under NHAI,45,21.86130028732771,70.58637113973042,Foggy,Night
19-01-2023,23:29,Odisha,Accident,Auto-rickshaw,Use of Mobile Phone,National Highways under State PWD,12,13.39456599152876,87.71069696981753,Foggy,Night
26-12-2023,14:46,Chhattisgarh,Fatal,Car,Fatigue,National Highways under NHAI,86,33.54507952485538,76.10585687826214,Foggy,Afternoon
22-07-2023,15:17,Bihar,Fatal,Car,Driving on Wrong side,National Highways under NHAI,18,10.48186824112633,78.4202066313853,Clear,Afternoon
02-04-2023,22:03,Andhra Pradesh,Fatal,Two-wheeler,Drunk driving,National Highways under Other department,89,27.394867167270146,82.46271366627691,Rainy,Night
06-06-2023,05:24,Bihar,Accident,Van,Drunk driving,National Highways under Other department,76,15.297962381904911,79.60335956017144,Clear,Morning
28-06-2023,11:51,Haryana,Accident,Tractor,Fatigue,National Highways under Other department,94,27.932962943685645,83.36483528781054,Rainy,Morning
30-07-2023,22:17,Goa,Fatal,Van,Drunk driving,National Highways under Other department,88,8.458574402630308,78.31819756892173,Rainy,Night
24-09-2023,00:41,Arunachal Pradesh,Fatal,Auto-rickshaw,Fatigue,National Highways under State PWD,9,21.334667249143493,85.13260576526096,Clear,Night
23-06-2023,13:52,Delhi,Accident,Van,Use of Mobile Phone,National Highways under Other department,53,26.58309375828401,79.94095724718005,Rainy,Afternoon
07-10-2023,02:58,Himachal Pradesh,Fatal,Two-wheeler,Fatigue,National Highways under State PWD,30,15.945796915304275,87.15130209957258,Rainy,Night
11-01-2023,10:53,West Bengal,Fatal,Van,Use of Mobile Phone,National Highways under NHAI,17,18.443030823909726,87.9434971044845,Stormy,Morning
25-03-2023,05:24,Tamil Nadu,Fatal,Truck,Use of Mobile Phone,National Highways under State PWD,20,15.674411658617839,89.24156211076729,Clear,Morning
05-09-2023,17:50,Odisha,Fatal,Truck,Drunk driving,National Highways under Other department,75,16.40663093266769,73.79240263150028,Stormy,Evening
02-06-2023,10:08,Telangana,Accident,Van,Drunk driving,National Highways under Other department,75,22.31151362285285,81.60566469051669,Rainy,Morning
29-03-2023,13:55,Uttar Pradesh,Accident,Van,Drunk driving,National Highways under State PWD,49,24.76511322067845,95.6165412245598,Rainy,Afternoon
05-05-2023,08:36,Kerala,Accident,Van,Fatigue,National Highways under State PWD,73,28.992176117129485,90.51240393898414,Rainy,Morning
08-01-2023,11:35,Rajasthan,Fatal,Truck,Drunk driving,National Highways under State PWD,91,9.119589569403708,69.46077197941642,Foggy,Morning
03-08-2023,08:24,Chandigarh,Fatal,Car,Fatigue,National Highways under NHAI,38,24.064513175895325,83.49768701348744,Stormy,Morning
26-12-2023,02:01,Telangana,Accident,Auto-rickshaw,Drunk driving,National Highways under NHAI,42,33.45777783278069,84.76048578384945,Rainy,Night
10-05-2023,08:45,Assam,Accident,Car,Use of Mobile Phone,National Highways under NHAI,48,33.38636527927666,85.58690649392818,Foggy,Morning
18-01-2023,09:19,Odisha,Fatal,Two-wheeler,Drunk driving,National Highways under NHAI,97,21.43976148402101,75.6901420085342,Foggy,Morning
18-03-2023,00:32,Chhattisgarh,Accident,Car,Driving on Wrong side,National Highways under State PWD,73,28.042994355144188,69.72358364701381,Clear,Night
09-11-2023,11:29,Assam,Accident,Bus,Drunk driving,National Highways under State PWD,65,25.023436315761014,92.65735255429206,Foggy,Morning
31-03-2023,01:29,Haryana,Fatal,Car,Use of Mobile Phone,National Highways under Other department,41,19.98131820616328,87.52418482639727,Stormy,Night
07-09-2023,05:47,Karnataka,Accident,Bus,Drunk driving,National Highways under State PWD,47,12.67718413482,80.93467884453804,Rainy,Morning
05-11-2023,20:26,Punjab,Fatal,Van,Fatigue,National Highways under State PWD,29,21.799753285191628,79.81543411084067,Rainy,Evening
18-01-2023,09:57,Jammu and Kashmir,Fatal,Car,Fatigue,National Highways under State PWD,99,19.94024545114759,74.37964870639634,Clear,Morning
29-11-2023,23:58,Chhattisgarh,Accident,Two-wheeler,Driving on Wrong side,National Highways under Other department,94,19.31862687952202,82.51824887370474,Foggy,Night
04-03-2023,05:12,Uttar Pradesh,Accident,Van,Use of Mobile Phone,National Highways under Other department,18,19.951712654780174,94.78009285392965,Rainy,Morning
16-07-2023,11:10,Karnataka,Accident,Van,Fatigue,National Highways under Other department,19,33.93089898361539,80.05595759780567,Clear,Morning
01-08-2023,11:57,Gujarat,Accident,Bus,Drunk driving,National Highways under State PWD,74,26.174522990112674,95.90328778434208,Stormy,Morning
29-10-2023,07:44,Delhi,Accident,Van,Fatigue,National Highways under Other department,99,16.69411744265123,87.7234473873153,Rainy,Morning
14-09-2023,20:16,Himachal Pradesh,Accident,Auto-rickshaw,Over-speeding,National Highways under State PWD,26,16.407429318871046,92.35403069254772,Foggy,Evening
26-02-2023,09:36,Goa,Accident,Car,Fatigue,National Highways under State PWD,42,12.185757225146197,68.23026786206131,Rainy,Morning
07-04-2023,05:38,Jammu and Kashmir,Accident,Two-wheeler,Fatigue,National Highways under State PWD,22,14.68147894186815,83.28702194992395,Rainy,Morning
04-04-2023,11:30,Madhya Pradesh,Fatal,Tractor,Drunk driving,National Highways under State PWD,51,12.989400908146257,72.18102034579869,Clear,Morning
27-02-2023,22:54,Jammu and Kashmir,Accident,Car,Over-speeding,National Highways under Other department,50,12.544438965559989,77.45305949833458,Foggy,Night
30-04-2023,20:05,Gujarat,Fatal,Truck,Fatigue,National Highways under NHAI,100,33.30443279104387,83.8913987523835,Clear,Evening
25-10-2023,06:00,Assam,Accident,Auto-rickshaw,Over-speeding,National Highways under State PWD,81,30.609995992082503,95.66247968059116,Rainy,Morning
25-03-2023,10:29,West Bengal,Accident,Tractor,Over-speeding,National Highways under Other department,45,33.28424032734969,80.65656975523027,Rainy,Morning
28-09-2023,23:57,Telangana,Fatal,Truck,Driving on Wrong side,National Highways under Other department,37,19.271711773492626,94.30514793114331,Clear,Night
17-10-2023,15:47,Haryana,Accident,Auto-rickshaw,Fatigue,National Highways under Other department,62,31.538686078831727,80.77043329188633,Stormy,Afternoon
04-04-2023,22:12,Maharashtra,Fatal,Car,Fatigue,National Highways under State PWD,33,31.115362056769744,94.19155370727009,Stormy,Night
20-07-2023,13:18,Uttar Pradesh,Accident,Tractor,Over-speeding,National Highways under State PWD,86,23.8747901755591,91.08351823235223,Clear,Afternoon
07-09-2023,07:06,Haryana,Fatal,Truck,Drunk driving,National Highways under Other department,53,21.409780452720387,86.377793699242,Clear,Morning
17-04-2023,14:36,Odisha,Accident,Truck,Over-speeding,National Highways under NHAI,49,10.036015131050299,80.97936389811808,Stormy,Afternoon
09-12-2023,02:02,Chandigarh,Fatal,Van,Drunk driving,National Highways under Other department,7,31.581215707972213,87.49587070924744,Foggy,Night
09-10-2023,10:35,Madhya Pradesh,Accident,Auto-rickshaw,Over-speeding,National Highways under NHAI,24,33.097451601225956,85.9642887256626,Rainy,Morning
05-03-2023,04:27,Odisha,Fatal,Van,Driving on Wrong side,National Highways under Other department,85,14.602843405989756,85.18883068175867,Rainy,Night
12-03-2023,06:46,Goa,Fatal,Tractor,Use of Mobile Phone,National Highways under Other department,20,8.734821935346863,81.12198481243284,Clear,Morning
24-10-2023,08:26,Jammu and Kashmir,Fatal,Two-wheeler,Use of Mobile Phone,National Highways under State PWD,13,28.843804619233932,94.57923105457819,Foggy,Morning
15-06-2023,16:43,Gujarat,Accident,Tractor,Over-speeding,National Highways under State PWD,23,19.262590563022336,90.63501876576996,Rainy,Afternoon
16-09-2023,18:21,Chandigarh,Fatal,Van,Fatigue,National Highways under NHAI,54,17.97460182892368,90.2275851736925,Foggy,Evening
19-02-2023,15:01,Andhra Pradesh,Fatal,Car,Fatigue,National Highways under NHAI,74,29.74205337165462,69.59108151207012,Clear,Afternoon
21-02-2023,19:02,Chandigarh,Fatal,Bus,Driving on Wrong side,National Highways under Other department,62,21.751719531957775,80.74892051904519,Stormy,Evening
17-01-2023,17:03,Telangana,Fatal,Auto-rickshaw,Driving on Wrong side,National Highways under Other department,26,14.441180473086634,87.5971882596417,Rainy,Evening
28-01-2023,18:03,Chhattisgarh,Accident,Truck,Drunk driving,National Highways under State PWD,8,14.642083828365914,85.80039440889169,Clear,Evening
24-11-2023,03:31,Gujarat,Accident,Van,Over-speeding,National Highways under State PWD,86,23.621550159643252,83.14275357815724,Stormy,Night
16-02-2023,00:57,Chandigarh,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under Other department,16,17.014549199619267,69.44921321780679,Clear,Night
17-04-2023,20:24,Odisha,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under Other department,65,19.231993477263558,94.75280059027506,Foggy,Evening
27-12-2023,01:31,Tamil Nadu,Fatal,Car,Driving on Wrong side,National Highways under State PWD,7,28.815512408228926,88.38760091099098,Foggy,Night
22-01-2023,10:34,Himachal Pradesh,Accident,Car,Driving on Wrong side,National Highways under State PWD,19,25.656710764107885,95.91970772811007,Stormy,Morning
24-08-2023,05:40,Andaman and Nicobar Island,Fatal,Truck,Drunk driving,National Highways under Other department,81,22.784330556043553,94.13403413134628,Stormy,Morning
25-06-2023,15:16,Telangana,Fatal,Two-wheeler,Fatigue,National Highways under State PWD,9,8.53190599209017,74.41863155237924,Stormy,Afternoon
29-04-2023,14:43,Rajasthan,Accident,Van,Use of Mobile Phone,National Highways under NHAI,9,25.068158377605712,74.62104161779051,Foggy,Afternoon
07-05-2023,16:59,Odisha,Accident,Van,Driving on Wrong side,National Highways under NHAI,52,34.262022484060964,70.96155236571424,Clear,Afternoon
20-06-2023,03:21,Odisha,Fatal,Auto-rickshaw,Drunk driving,National Highways under NHAI,52,34.436169022661005,91.57225357386886,Foggy,Night
26-04-2023,21:32,West Bengal,Fatal,Tractor,Drunk driving,National Highways under State PWD,72,10.239783746847603,79.88893656266868,Foggy,Night
07-10-2023,16:42,Uttar Pradesh,Accident,Tractor,Driving on Wrong side,National Highways under NHAI,72,17.86347589398298,92.69897974352892,Foggy,Afternoon
06-06-2023,14:12,Maharashtra,Fatal,Tractor,Driving on Wrong side,National Highways under Other department,3,8.80499334120597,79.62659397756256,Rainy,Afternoon
10-02-2023,16:28,Chhattisgarh,Fatal,Bus,Use of Mobile Phone,National Highways under NHAI,54,33.28294513209565,74.0428554747098,Stormy,Afternoon
28-03-2023,04:32,Andaman and Nicobar Island,Accident,Tractor,Over-speeding,National Highways under State PWD,70,20.850795292478516,84.65823264973048,Clear,Night
24-12-2023,04:41,Chhattisgarh,Accident,Bus,Use of Mobile Phone,National Highways under NHAI,95,28.427574426738587,93.08931029982327,Stormy,Night
16-06-2023,00:26,Odisha,Accident,Two-wheeler,Drunk driving,National Highways under State PWD,45,17.318531421217735,81.98524349323208,Clear,Night
23-03-2023,22:12,Andhra Pradesh,Fatal,Van,Driving on Wrong side,National Highways under Other department,62,19.946430501914246,78.6421774156593,Stormy,Night
02-12-2023,10:26,Uttar Pradesh,Fatal,Two-wheeler,Driving on Wrong side,National Highways under Other department,52,25.2895779813837,90.19959572303985,Foggy,Morning
20-08-2023,04:14,Chandigarh,Fatal,Auto-rickshaw,Over-speeding,National Highways under Other department,27,32.778410297629975,84.32580920274975,Stormy,Night
18-07-2023,05:42,Tamil Nadu,Fatal,Truck,Fatigue,National Highways under Other department,49,30.9564453003613,84.49977158766369,Foggy,Morning
18-12-2023,19:13,Goa,Fatal,Car,Over-speeding,National Highways under Other department,16,21.55518593449291,84.88670570841084,Foggy,Evening
17-06-2023,03:00,Uttar Pradesh,Accident,Tractor,Drunk driving,National Highways under State PWD,92,13.199102240227276,78.58973995798588,Stormy,Night
16-11-2023,18:45,Assam,Fatal,Van,Fatigue,National Highways under State PWD,60,16.516172765900244,83.81588501884845,Stormy,Evening
01-04-2023,20:27,Odisha,Accident,Car,Over-speeding,National Highways under Other department,95,15.892105285100264,87.874948792921,Clear,Evening
17-08-2023,18:33,Tamil Nadu,Fatal,Car,Use of Mobile Phone,National Highways under State PWD,73,26.819881603002703,70.05471152353245,Stormy,Evening
01-10-2023,15:18,Bihar,Fatal,Bus,Driving on Wrong side,National Highways under State PWD,5,17.845316686755893,87.41876698535255,Rainy,Afternoon
24-06-2023,06:59,Chhattisgarh,Accident,Van,Over-speeding,National Highways under State PWD,10,20.938340620141346,71.11856927404816,Foggy,Morning
03-03-2023,03:02,Arunachal Pradesh,Fatal,Two-wheeler,Driving on Wrong side,National Highways under Other department,27,12.438539887932254,72.31154760305293,Clear,Night
10-03-2023,14:26,Himachal Pradesh,Accident,Bus,Fatigue,National Highways under NHAI,82,33.49179265996054,83.51843543708003,Clear,Afternoon
16-03-2023,11:43,Karnataka,Fatal,Auto-rickshaw,Drunk driving,National Highways under NHAI,40,26.269196124066486,76.31860669515677,Stormy,Morning
09-05-2023,20:53,Andaman and Nicobar Island,Accident,Car,Drunk driving,National Highways under NHAI,67,25.076878125560775,88.4702363838438,Foggy,Evening
22-11-2023,23:21,Haryana,Fatal,Two-wheeler,Fatigue,National Highways under Other department,2,9.440572147601936,79.87171387082337,Foggy,Night
06-04-2023,00:06,Chandigarh,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under State PWD,29,20.28851294403251,92.47943154020618,Stormy,Night
29-09-2023,03:08,Jharkhand,Fatal,Truck,Use of Mobile Phone,National Highways under NHAI,79,26.849662586311997,76.21808137402395,Rainy,Night
26-05-2023,03:56,Assam,Fatal,Van,Over-speeding,National Highways under Other department,55,32.62857787126319,82.5031800413143,Clear,Night
28-06-2023,16:02,Chandigarh,Fatal,Bus,Driving on Wrong side,National Highways under NHAI,36,34.71490485474625,87.26828348498779,Stormy,Afternoon
26-10-2023,03:27,Haryana,Fatal,Car,Over-speeding,National Highways under NHAI,62,14.150638695128745,85.48923403365077,Foggy,Night
18-11-2023,18:54,Goa,Fatal,Truck,Use of Mobile Phone,National Highways under Other department,98,30.505886087789055,92.87777177168957,Foggy,Evening
14-02-2023,21:29,Madhya Pradesh,Accident,Car,Use of Mobile Phone,National Highways under Other department,26,13.276360679671889,84.37019984434363,Clear,Night
23-08-2023,18:35,Haryana,Fatal,Car,Drunk driving,National Highways under Other department,57,30.248956867799276,88.66699045564303,Foggy,Evening
28-11-2023,21:06,Telangana,Accident,Two-wheeler,Over-speeding,National Highways under Other department,66,16.424678445427418,93.6602060035689,Rainy,Night
26-08-2023,02:50,West Bengal,Fatal,Two-wheeler,Fatigue,National Highways under Other department,10,16.513741044996124,77.7354803026768,Stormy,Night
17-01-2023,20:46,Odisha,Accident,Truck,Drunk driving,National Highways under Other department,75,19.37937187855973,81.94564097544789,Clear,Evening
22-06-2023,11:33,Uttar Pradesh,Accident,Tractor,Drunk driving,National Highways under State PWD,70,11.4671092335708,88.51788032018722,Foggy,Morning
26-08-2023,10:05,Uttar Pradesh,Accident,Van,Drunk driving,National Highways under State PWD,9,32.929559608444265,91.55558725565757,Stormy,Morning
15-04-2023,09:41,Rajasthan,Accident,Two-wheeler,Driving on Wrong side,National Highways under State PWD,2,17.839669954850773,73.3525139507705,Clear,Morning
24-06-2023,12:49,Rajasthan,Accident,Truck,Over-speeding,National Highways under Other department,98,9.253689901392717,95.0261158524959,Clear,Afternoon
26-07-2023,06:48,Madhya Pradesh,Fatal,Two-wheeler,Use of Mobile Phone,National Highways under Other department,94,34.760481738412466,85.66941646680439,Stormy,Morning
24-12-2023,14:41,Punjab,Accident,Two-wheeler,Driving on Wrong side,National Highways under Other department,35,10.827543334371908,84.2582828749415,Clear,Afternoon
11-11-2023,10:27,Goa,Accident,Two-wheeler,Over-speeding,National Highways under State PWD,87,8.208438514862262,75.97664911507067,Foggy,Morning
08-04-2023,23:35,Telangana,Fatal,Truck,Over-speeding,National Highways under Other department,82,22.96282816530695,95.3777366845715,Clear,Night
10-04-2023,04:38,Tamil Nadu,Accident,Van,Use of Mobile Phone,National Highways under Other department,84,18.380990326090533,91.292301545806,Stormy,Night
01-09-2023,15:34,Goa,Accident,Car,Use of Mobile Phone,National Highways under State PWD,6,9.977555130061164,86.10640286336867,Foggy,Afternoon
17-09-2023,10:57,Uttar Pradesh,Fatal,Car,Use of Mobile Phone,National Highways under NHAI,97,30.620896036901357,79.20857943253523,Rainy,Morning
10-04-2023,22:32,Odisha,Fatal,Car,Fatigue,National Highways under NHAI,64,10.320484533654255,71.7627975258656,Stormy,Night
28-06-2023,04:23,Goa,Accident,Van,Driving on Wrong side,National Highways under Other department,23,8.52277142205906,84.89406315513234,Clear,Night
11-02-2023,23:17,Karnataka,Accident,Two-wheeler,Use of Mobile Phone,National Highways under State PWD,21,32.324762545762994,80.4600774331998,Stormy,Night
25-07-2023,10:06,Punjab,Fatal,Auto-rickshaw,Driving on Wrong side,National Highways under State PWD,79,22.81174046584095,77.44031927512832,Clear,Morning
06-01-2023,22:52,Punjab,Accident,Truck,Drunk driving,National Highways under Other department,9,15.70136299398522,93.23107592376212,Stormy,Night
30-10-2023,09:53,Karnataka,Fatal,Truck,Over-speeding,National Highways under State PWD,54,8.751480412261103,94.06564008526539,Foggy,Morning
07-03-2023,03:29,West Bengal,Accident,Tractor,Drunk driving,National Highways under NHAI,71,8.903412438329847,81.39717721993026,Rainy,Night
21-12-2023,08:11,Punjab,Fatal,Auto-rickshaw,Drunk driving,National Highways under Other department,51,32.86121738172338,75.77761867655589,Rainy,Morning
23-12-2023,20:50,Andaman and Nicobar Island,Fatal,Tractor,Use of Mobile Phone,National Highways under NHAI,73,8.795627660493835,74.27147931420579,Foggy,Evening
29-08-2023,18:52,Karnataka,Accident,Car,Drunk driving,National Highways under NHAI,10,21.788750885934185,86.6075069768304,Rainy,Evening
26-09-2023,14:48,Maharashtra,Fatal,Van,Over-speeding,National Highways under Other department,25,31.623442842985824,70.0217186630421,Stormy,Afternoon
03-10-2023,03:47,Chhattisgarh,Accident,Two-wheeler,Over-speeding,National Highways under NHAI,48,19.692460045016027,72.56680607547992,Stormy,Night
26-05-2023,02:35,Jammu and Kashmir,Fatal,Auto-rickshaw,Use of Mobile Phone,National Highways under Other department,93,33.34195453337887,88.68018961529833,Rainy,Night
18-11-2023,07:23,Delhi,Fatal,Bus,Over-speeding,National Highways under State PWD,68,31.24307539480593,84.13143977448982,Stormy,Morning
12-05-2023,12:22,Bihar,Accident,Two-wheeler,Fatigue,National Highways under Other department,66,25.44100827625833,90.06538496861957,Stormy,Afternoon
02-06-2023,05:42,Karnataka,Fatal,Bus,Over-speeding,National Highways under State PWD,38,28.984567152479023,82.66833018879738,Clear,Morning
04-04-2023,11:45,Chandigarh,Fatal,Truck,Driving on Wrong side,National Highways under State PWD,80,23.07965027451131,84.53792088694823,Clear,Morning
22-01-2023,12:16,Gujarat,Fatal,Tractor,Driving on Wrong side,National Highways under Other department,30,8.43491578877906,80.54468179643717,Stormy,Afternoon
14-05-2023,12:22,Jammu and Kashmir,Accident,Van,Fatigue,National Highways under NHAI,73,28.984816773236485,84.86589166031088,Rainy,Afternoon
01-10-2023,16:15,Bihar,Fatal,Van,Fatigue,National Highways under NHAI,4,26.30043203629029,72.80394942393774,Rainy,Afternoon
27-06-2023,09:05,Gujarat,Accident,Bus,Drunk driving,National Highways under NHAI,4,19.736520300550826,70.25171284497787,Rainy,Morning
23-07-2023,03:30,Karnataka,Fatal,Car,Drunk driving,National Highways under Other department,99,10.190332547629632,96.5421849907837,Stormy,Night
18-04-2023,06:20,Chhattisgarh,Fatal,Tractor,Use of Mobile Phone,National Highways under State PWD,54,27.460699878660627,95.5961268097362,Rainy,Morning
23-01-2023,00:59,Chhattisgarh,Fatal,Car,Over-speeding,National Highways under NHAI,73,27.03494680850735,84.4268273055543,Stormy,Night
06-02-2023,05:59,Assam,Fatal,Van,Use of Mobile Phone,National Highways under NHAI,67,26.67934304292868,90.616220881536,Rainy,Morning
31-01-2023,18:06,Haryana,Accident,Truck,Over-speeding,National Highways under State PWD,11,25.351050577362685,90.35547900085118,Stormy,Evening
24-02-2023,09:38,Chhattisgarh,Fatal,Car,Drunk driving,National Highways under NHAI,9,27.34329195764535,93.70515344785193,Rainy,Morning
11-04-2023,12:35,Andhra Pradesh,Accident,Van,Use of Mobile Phone,National Highways under Other department,85,33.14664808183679,87.49586428304106,Rainy,Afternoon
04-09-2023,19:02,Delhi,Fatal,Two-wheeler,Fatigue,National Highways under NHAI,29,18.96040645294081,69.7045445630001,Foggy,Evening
16-02-2023,14:39,Chandigarh,Accident,Auto-rickshaw,Driving on Wrong side,National Highways under State PWD,48,32.23677146332777,75.95329102544838,Stormy,Afternoon
27-09-2023,21:56,Andhra Pradesh,Accident,Truck,Over-speeding,National Highways under Other department,80,8.352929169250016,68.23013052254775,Clear,Night
01-05-2023,06:33,Delhi,Accident,Two-wheeler,Driving on Wrong side,National Highways under State PWD,70,22.763937002057457,79.65732393108509,Stormy,Morning
13-01-2023,16:46,Telangana,Fatal,Two-wheeler,Drunk driving,National Highways under State PWD,68,29.583632153154984,69.45024999615379,Foggy,Afternoon
21-05-2023,02:06,Chhattisgarh,Accident,Truck,Drunk driving,National Highways under Other department,31,25.904981927190413,73.81726046585312,Clear,Night
19-04-2023,03:33,Uttar Pradesh,Fatal,Van,Driving on Wrong side,National Highways under Other department,16,17.28581132855084,73.47275420290315,Stormy,Night
21-07-2023,17:51,Bihar,Fatal,Car,Use of Mobile Phone,National Highways under NHAI,31,19.356203241855503,92.7900531813022,Foggy,Evening
